#,"By signing this document I consent to participate in this study, and consent to the data processing necessary to enable my participation and to achieve the research goals of this study. ",Please enter your Prolific ID,Counterfactual Quiz 1,Counterfactual Quiz 2,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 3,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention-check question! Please mark the ACTION 2.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 1.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,Useful,Satisfying,Detailed,Complete,Actionable,Reliable,Trustworthy,Confidence,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
15mm7tk6wdpt46swfa22815mm75tkdki,1,5c03e3c51a20110001e99ff3,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,4,3,4,2,3,3,3,3,completed,2024-01-11 16:34:15,,2024-01-11 16:49:26,16ccb1aac0,
bagut3d7nbnh00yx1sebagu1ao7slidw,1,62714702132c0c53d426c914,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 3,LANE LEFT,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 1,SLOWER,ACTION 1,LANE LEFT,ACTION 2,ACTION 3,LANE LEFT,ACTION 1,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,IDLE,ACTION 1,ACTION 3,LANE RIGHT,3,3,3,3,3,3,3,3,completed,2024-01-11 16:27:28,,2024-01-11 16:44:05,bc1b2e7c4e,
2q6xs2o67btx2q6xssixz704yfv4mxdx,1,5ebc3097a9c38504ebd8a347,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,IDLE,ACTION 2,LANE RIGHT,ACTION 2,ACTION 3,IDLE,ACTION 1,LANE RIGHT,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,ACTION 2,IDLE,3,4,5,5,5,1,3,5,completed,2024-01-11 16:16:53,,2024-01-11 16:30:57,10f666a2d8,
oil1tsrj0yf6pw7l99moil1togmh7e3h,1,60df600d4d82e048f751a54c,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 1,IDLE,ACTION 1,ACTION 2,SLOWER,3,3,3,2,3,2,2,3,completed,2024-01-11 16:15:17,,2024-01-11 16:29:55,66683830f0,
ln1klx3ppihlmegyypln1kl18j1uw7dq,1,63d1125c54e8148f4cd30a65,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,LANE LEFT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,4,4,3,3,4,4,4,4,completed,2024-01-11 16:15:05,,2024-01-11 16:39:11,55cdc64a04,
4ojx2e60n0liofn74ojxa4g3rzjlexh1,1,5fd4d10b2f970406fe63ad96,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,LANE LEFT,ACTION 1,IDLE,ACTION 1,FASTER,ACTION 3,ACTION 1,IDLE,ACTION 2,LANE LEFT,ACTION 2,ACTION 1,LANE LEFT,ACTION 1,IDLE,ACTION 2,LANE LEFT,ACTION 2,IDLE,ACTION 1,ACTION 2,IDLE,5,4,5,5,4,3,3,4,completed,2024-01-11 16:13:23,,2024-01-11 16:20:46,664ea94fd4,
mgjkff7cavwle9y42oumgjkff7ycl5xo,1,60e4ffbdabdc93105b40044a,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 3,SLOWER,ACTION 1,LANE LEFT,ACTION 2,SLOWER,ACTION 3,ACTION 3,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 3,IDLE,ACTION 1,SLOWER,ACTION 1,ACTION 1,LANE RIGHT,4,4,4,3,5,4,3,4,completed,2024-01-11 16:13:12,,2024-01-11 16:22:27,bd9ca0beb2,
cloud2f2f0sk8e9xg0i3cloud2v4o4l6,1,60a746a3455cbbaefa083a14,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,IDLE,ACTION 2,LANE LEFT,ACTION 1,IDLE,ACTION 3,ACTION 2,SLOWER,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,SLOWER,ACTION 1,ACTION 2,SLOWER,4,5,4,3,5,4,2,5,completed,2024-01-11 16:13:10,,2024-01-11 16:23:06,afcdabf3a6,
we0zi46icus3wea15j47pdzfyt4aa15j,1,659b1aa90f0e1635b20c2fc3,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,IDLE,ACTION 1,LANE RIGHT,ACTION 3,LANE LEFT,ACTION 3,ACTION 3,SLOWER,ACTION 2,SLOWER,ACTION 2,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 1,ACTION 3,SLOWER,5,5,5,5,5,5,5,5,completed,2024-01-11 16:13:04,,2024-01-11 16:27:21,d3b6776df4,
pcbno6bgwy92ud9s7d134pcbno6f049c,1,5b1d5f63aaaa8500012562c9,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,LANE LEFT,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,LANE RIGHT,ACTION 2,ACTION 1,SLOWER,ACTION 1,LANE RIGHT,ACTION 3,IDLE,ACTION 1,IDLE,ACTION 1,ACTION 1,SLOWER,4,3,2,2,3,2,2,3,completed,2024-01-11 16:13:02,,2024-01-11 16:30:37,82cdead9c8,
w3yumhe16g2okew3yuddy4nyzq3h9ifd,1,60d8f1c24c86aa4d0b23bf4e,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 1,LANE LEFT,ACTION 1,LANE LEFT,ACTION 2,IDLE,ACTION 3,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 3,FASTER,ACTION 1,FASTER,ACTION 1,ACTION 1,FASTER,3,2,3,2,2,2,1,2,completed,2024-01-11 16:12:48,,2024-01-11 16:25:55,193cc78e6a,
bebgvyrvydos11n9eucibebgvoikt3ny,1,5f0e74354614791b6a6a988d,The path the self-driving car took leading to a collision.,The path that the self-driving car did not take but avoids collision.,ACTION 2,LANE LEFT,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 3,ACTION 1,SLOWER,ACTION 1,IDLE,ACTION 2,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 2,FASTER,ACTION 1,IDLE,ACTION 1,ACTION 1,SLOWER,4,2,1,1,1,2,2,2,completed,2024-01-11 16:12:19,,2024-01-11 16:21:57,2f9168b3dc,
