#,"By signing this document I consent to participate in this study, and consent to the data processing necessary to enable my participation and to achieve the research goals of this study. ",Please enter your Prolific ID,Explanations Quiz 1,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 3,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 2.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,This is an attention check question! Please mark the ACTION 1.,On the right you can see an example of a collision of a self-driving car. *Which action would you change to prevent collision? *,*Which alternative action would you take?*,Useful,Satisfying,Detailed,Complete,Actionable,Reliable,Trustworthy,Confidence,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
m2rzcmgl8jkz2f95j05m2rzcabnipbjx,1,5e5521580ee1b951df544c3c,The mistake action that led to the collision.,ACTION 2,SLOWER,ACTION 1,IDLE,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 3,SLOWER,ACTION 2,ACTION 2,IDLE,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,ACTION 2,SLOWER,2,3,3,3,2,3,3,2,completed,2024-01-11 15:01:15,,2024-01-11 15:14:31,400664ecda,
w4a5o6x65ddk6m85wuw4a5oziido7an4,1,5f9115299908a021dfcf4fae,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 2,IDLE,1,1,1,1,1,1,1,1,completed,2024-01-11 15:00:34,,2024-01-11 15:13:43,50d371049f,
kbq3urkpfnquq3s762kbq3urkl14c9ew,1,65533718632f556e74c3e33c,The mistake action that led to the collision.,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,LANE LEFT,ACTION 3,ACTION 3,LANE LEFT,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 2,LANE RIGHT,ACTION 1,ACTION 3,IDLE,3,3,3,2,3,3,4,4,completed,2024-01-11 13:57:05,,2024-01-11 14:13:22,8079784151,
4dpq8cgxj996kw485h94dpq8kgeq3qrn,1,65761fe58f4f490648d22672,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 1,IDLE,ACTION 3,ACTION 3,IDLE,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 3,FASTER,4,3,3,4,4,3,3,3,completed,2024-01-11 13:57:04,,2024-01-11 14:16:00,76141bec4c,
mzk9f1byd3gnb8bnmzk91urx8clh9al4,1,5e42f1cc6f88bf1813799fbb,The mistake action that led to the collision.,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 3,SLOWER,ACTION 2,ACTION 2,IDLE,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,ACTION 3,SLOWER,3,2,1,2,3,3,2,4,completed,2024-01-11 13:57:02,,2024-01-11 14:04:28,e24684dc61,
1964k3uyxpplndqvbj41964k3ukjjika,1,57df427c722df500017f43ae,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 1,IDLE,ACTION 1,ACTION 2,SLOWER,3,,3,3,3,3,1,2,completed,2024-01-11 13:56:48,,2024-01-11 14:11:31,20a4e0d64c,
fl0mgrzp2fysfk0pyyyfl0mgrz2qtt05,1,597095d3db808600019d603e,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 3,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,4,3,3,3,4,4,4,4,completed,2024-01-11 13:56:37,,2024-01-11 14:09:27,fc9a9e6f79,
02au6mqupw9vxet9f02au6mqax7g2k3a,1,64135a879bd10086260ce23b,The mistake action that led to the collision.,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 1,ACTION 2,SLOWER,4,4,3,2,4,2,2,4,completed,2024-01-11 13:56:15,,2024-01-11 14:11:49,7da81200c5,
r7q7082ctef6r34r7lrcbxok4agb3sma,1,5ef88c95dff5d45e93000ac7,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 1,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 2,ACTION 2,SLOWER,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 1,SLOWER,ACTION 1,ACTION 2,SLOWER,2,2,3,3,3,3,4,3,completed,2024-01-11 13:56:13,,2024-01-11 14:05:22,e32a6e5431,
1wy17k3m3upebnyo511wy17bhefq1bom,1,6235efe25b5f6571a27e4d7d,The mistake action that led to the collision.,ACTION 1,LANE LEFT,ACTION 2,SLOWER,ACTION 3,SLOWER,ACTION 3,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,ACTION 2,IDLE,ACTION 3,SLOWER,ACTION 3,FASTER,ACTION 3,IDLE,ACTION 1,ACTION 2,IDLE,4,4,4,4,4,4,4,4,completed,2024-01-11 13:55:58,,2024-01-11 14:02:18,abcc8ae618,
bbip0s8lonxm0zsfhegkbbip0s8ltswq,1,615172c4fbb4722c8f004de7,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,IDLE,ACTION 1,FASTER,ACTION 3,ACTION 2,IDLE,ACTION 1,FASTER,ACTION 2,ACTION 2,IDLE,ACTION 1,LANE RIGHT,ACTION 2,IDLE,ACTION 1,FASTER,ACTION 1,ACTION 1,FASTER,3,3,3,3,3,3,3,3,completed,2024-01-11 13:55:51,,2024-01-11 14:11:38,5d2a332f04,
g187xxgvkdw5cdg187xxmachgz7ac5mh,1,63f53ecaf778d4f10907458c,The mistake action that led to the collision.,ACTION 1,IDLE,ACTION 3,SLOWER,ACTION 2,SLOWER,ACTION 3,ACTION 2,SLOWER,ACTION 3,IDLE,ACTION 2,ACTION 3,SLOWER,ACTION 3,SLOWER,ACTION 3,LANE LEFT,ACTION 2,SLOWER,ACTION 1,ACTION 3,SLOWER,4,3,2,2,4,2,2,2,completed,2024-01-11 13:55:45,,2024-01-11 14:07:43,5e87c187e0,
ccg9x1ecmze3igvtccg9x133i70eni0f,1,5e77a65dcce2a2319f9e8849,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 2,IDLE,ACTION 2,SLOWER,ACTION 1,ACTION 1,SLOWER,3,3,3,3,3,2,2,2,completed,2024-01-11 13:55:42,,2024-01-11 14:04:13,2438fcdd4d,
r8b7hkf7s95c7d18siiwr8b7hkf7hb8k,1,5d7057e63c92d600193c31e5,The mistake action that led to the collision.,ACTION 1,IDLE,ACTION 2,SLOWER,ACTION 2,IDLE,ACTION 3,ACTION 2,IDLE,ACTION 2,LANE RIGHT,ACTION 2,ACTION 2,SLOWER,ACTION 1,LANE RIGHT,ACTION 3,IDLE,ACTION 1,IDLE,ACTION 1,ACTION 1,IDLE,3,3,4,4,4,3,3,3,completed,2024-01-11 13:54:20,,2024-01-11 14:04:13,f2cc6a76ca,
38le9zagxxu114xny38le9mpvovrpye5,1,5f48eaf6951dbe29243028a4,The mistake action that led to the collision.,ACTION 1,SLOWER,ACTION 2,LANE LEFT,ACTION 3,SLOWER,ACTION 3,ACTION 2,IDLE,ACTION 3,SLOWER,ACTION 2,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 2,IDLE,ACTION 3,IDLE,ACTION 1,ACTION 2,SLOWER,4,3,3,4,4,2,3,4,completed,2024-01-11 13:53:56,,2024-01-11 14:03:52,48093cd1aa,
